10	RPC:Completed	Occurs when a remote procedure call (RPC) has completed.
11	RPC:Starting	Occurs when an RPC has started.
12	SQL:BatchCompleted	Occurs when a Transact-SQL batch has completed.
13	SQL:BatchStarting	Occurs when a Transact-SQL batch has started.
14	Audit Login	Occurs when a user successfully logs in to SQL Server.
15	Audit Logout	Occurs when a user logs out of SQL Server.
16	Attention	Occurs when attention events, such as client-interrupt requests or broken client connections, happen.
17	ExistingConnection	Detects all activity by users connected to SQL Server before the trace started.
18	Audit Server Starts and Stops	Occurs when the SQL Server service state is modified.
19	DTCTransaction	Tracks Microsoft Distributed Transaction Coordinator (MS DTC) coordinated transactions between two or more databases.
20	Audit Login Failed	Indicates that a login attempt to SQL Server from a client failed.
21	EventLog	Indicates that events have been logged in the Windows application log.
22	ErrorLog	Indicates that error events have been logged in the SQL Server error log.
23	Lock:Released	Indicates that a lock on a resource, such as a page, has been released.
24	Lock:Acquired	Indicates acquisition of a lock on a resource, such as a data page.
25	Lock:Deadlock	Indicates that two concurrent transactions have deadlocked each other by trying to obtain incompatible locks on resources the other transaction owns. 
26	Lock:Cancel	Indicates that the acquisition of a lock on a resource has been canceled (for example, due to a deadlock).
27	Lock:Timeout	Indicates that a request for a lock on a resource, such as a page, has timed out due to another transaction holding a blocking lock on the required resource. Time-out is determined by the @@LOCK_TIMEOUT function, and can be set with the SET LOCK_TIMEOUT statement. 
28	Degree of Parallelism Event (7.0 Insert)	Occurs before a SELECT, INSERT, or UPDATE statement is executed. 
33	Exception	Indicates that an exception has occurred in SQL Server. 
34	SP:CacheMiss	Indicates when a stored procedure is not found in the procedure cache.
35	SP:CacheInsert	Indicates when an item is inserted into the procedure cache.
36	SP:CacheRemove	Indicates when an item is removed from the procedure cache.
37	SP:Recompile	Indicates that a stored procedure was recompiled.
38	SP:CacheHit	Indicates when a stored procedure is found in the procedure cache.
40	SQL:StmtStarting	Occurs when the Transact-SQL statement has started.
41	SQL:StmtCompleted	Occurs when the Transact-SQL statement has completed.
42	SP:Starting	Indicates when the stored procedure has started.
43	SP:Completed	Indicates when the stored procedure has completed.
44	SP:StmtStarting	Indicates that a Transact-SQL statement within a stored procedure has started executing.
45	SP:StmtCompleted	Indicates that a Transact-SQL statement within a stored procedure has finished executing.
46	Object:Created	Indicates that an object has been created, such as for CREATE INDEX, CREATE TABLE, and CREATE DATABASE statements.
47	Object:Deleted	Indicates that an object has been deleted, such as in DROP INDEX and DROP TABLE statements.
50	SQL Transaction	Tracks Transact-SQL BEGIN, COMMIT, SAVE, and ROLLBACK TRANSACTION statements.
51	Scan:Started	Indicates when a table or index scan has started.
